Date,WRU1
07/04/2010,2875.00
09/04/2010,2875.00
14/04/2010,2875.00
16/04/2010,2875.00
21/04/2010,2875.00
23/04/2010,2875.00
28/04/2010,2875.00
30/04/2010,2875.00
05/05/2010,2875.00
07/05/2010,2875.00
12/05/2010,2875.00
14/05/2010,2975.00
19/05/2010,2975.00
21/05/2010,3000.00
26/05/2010,3000.00
28/05/2010,3050.00
02/06/2010,3050.00
04/06/2010,3075.00
09/06/2010,3075.00
11/06/2010,3150.00
16/06/2010,3150.00
18/06/2010,3150.00
23/06/2010,3150.00
25/06/2010,3150.00
30/06/2010,3150.00
02/07/2010,3100.00
07/07/2010,3100.00
09/07/2010,3225.00
14/07/2010,3225.00
16/07/2010,3500.00
21/07/2010,3500.00
23/07/2010,4450.00
28/07/2010,4450.00
30/07/2010,4975.00
04/08/2010,4975.00
06/08/2010,5425.00
11/08/2010,5425.00
13/08/2010,5300.00
18/08/2010,5300.00
20/08/2010,5050.00
25/08/2010,5050.00
27/08/2010,5100.00
01/09/2010,5100.00
03/09/2010,5150.00
08/09/2010,5150.00
10/09/2010,5175.00
15/09/2010,5175.00
17/09/2010,5275.00
22/09/2010,5275.00
29/09/2010,5275.00
01/10/2010,5350.00
06/10/2010,5350.00
08/10/2010,5400.00
13/10/2010,5400.00
15/10/2010,5475.00
20/10/2010,5475.00
22/10/2010,5500.00
27/10/2010,5500.00
29/10/2010,5675.00
03/11/2010,5675.00
10/11/2010,5675.00
12/11/2010,5925.00
17/11/2010,5925.00
19/11/2010,6025.00
24/11/2010,6025.00
26/11/2010,6150.00
01/12/2010,6150.00
03/12/2010,6300.00
08/12/2010,6300.00
10/12/2010,6425.00
15/12/2010,6425.00
17/12/2010,6425.00
22/12/2010,6425.00
24/12/2010,6425.00
29/12/2010,6425.00
05/01/2011,6425.00
12/01/2011,6425.00
14/01/2011,6575.00
19/01/2011,6575.00
21/01/2011,6700.00
26/01/2011,6700.00
28/01/2011,6725.00
02/02/2011,6725.00
04/02/2011,6725.00
09/02/2011,6725.00
11/02/2011,6625.00
16/02/2011,6625.00
18/02/2011,6575.00
23/02/2011,6575.00
25/02/2011,6550.00
02/03/2011,6550.00
04/03/2011,6450.00
09/03/2011,6450.00
16/03/2011,6450.00
18/03/2011,6200.00
23/03/2011,6200.00
25/03/2011,5925.00
30/03/2011,5925.00
01/04/2011,5700.00
06/04/2011,5700.00
08/04/2011,5300.00
13/04/2011,5300.00
15/04/2011,5225.00
20/04/2011,5225.00
22/04/2011,5150.00
27/04/2011,5150.00
29/04/2011,5125.00
04/05/2011,5125.00
06/05/2011,5100.00
11/05/2011,5100.00
13/05/2011,5100.00
18/05/2011,5100.00
20/05/2011,5075.00
25/05/2011,5075.00
27/05/2011,5100.00
01/06/2011,5100.00
03/06/2011,5375.00
08/06/2011,5375.00
